"Index","DJI.Open","DJI.High","DJI.Low","DJI.Close","DJI.Volume","DJI.Adjusted"
"2008-12-05",8635.419922,8635.419922,8635.419922,8635.419922,0,8635.419922
"2008-12-08",8934.179688,8934.179688,8934.179688,8934.179688,0,8934.179688
"2008-12-09",NA,NA,NA,NA,NA,NA
"2008-12-10",NA,NA,NA,NA,NA,NA
"2008-12-11",8565.089844,8565.089844,8565.089844,8565.089844,0,8565.089844
"2008-12-12",8629.679688,8629.679688,8629.679688,8629.679688,0,8629.679688
"2008-12-15",NA,NA,NA,NA,NA,NA
"2008-12-16",8924.139648,8924.139648,8924.139648,8924.139648,0,8924.139648
"2008-12-17",8824.339844,8824.339844,8824.339844,8824.339844,0,8824.339844
"2008-12-18",8604.990234,8604.990234,8604.990234,8604.990234,0,8604.990234
"2008-12-19",8579.110352,8579.110352,8579.110352,8579.110352,0,8579.110352
"2008-12-22",8519.769531,8519.769531,8519.769531,8519.769531,0,8519.769531
"2008-12-23",8419.490234,8419.490234,8419.490234,8419.490234,0,8419.490234
"2008-12-24",8468.480469,8468.480469,8468.480469,8468.480469,0,8468.480469
"2008-12-26",8515.549805,8515.549805,8515.549805,8515.549805,0,8515.549805
"2008-12-29",8483.929688,8483.929688,8483.929688,8483.929688,0,8483.929688
"2008-12-30",8668.389648,8668.389648,8668.389648,8668.389648,0,8668.389648
"2008-12-31",8776.389648,8776.389648,8776.389648,8776.389648,0,8776.389648
"2009-01-02",9034.69043,9034.69043,9034.69043,9034.69043,0,9034.69043
"2009-01-05",8952.889648,8952.889648,8952.889648,8952.889648,0,8952.889648
"2009-01-06",9015.099609,9015.099609,9015.099609,9015.099609,0,9015.099609
"2009-01-07",8769.700195,8769.700195,8769.700195,8769.700195,0,8769.700195
"2009-01-08",8742.459961,8742.459961,8742.459961,8742.459961,0,8742.459961
"2009-01-09",8599.179688,8599.179688,8599.179688,8599.179688,0,8599.179688
"2009-01-12",8473.969727,8473.969727,8473.969727,8473.969727,0,8473.969727
"2009-01-13",8448.55957,8448.55957,8448.55957,8448.55957,0,8448.55957
"2009-01-14",8200.139648,8200.139648,8200.139648,8200.139648,0,8200.139648
"2009-01-15",8212.490234,8212.490234,8212.490234,8212.490234,0,8212.490234
"2009-01-16",8281.219727,8281.219727,8281.219727,8281.219727,0,8281.219727
"2009-01-20",7949.089844,7949.089844,7949.089844,7949.089844,0,7949.089844
"2009-01-21",8228.099609,8228.099609,8228.099609,8228.099609,0,8228.099609
"2009-01-22",8122.799805,8122.799805,8122.799805,8122.799805,0,8122.799805
"2009-01-23",8077.560059,8077.560059,8077.560059,8077.560059,0,8077.560059
"2009-01-26",8116.029785,8116.029785,8116.029785,8116.029785,0,8116.029785
"2009-01-27",8174.72998,8174.72998,8174.72998,8174.72998,0,8174.72998
"2009-01-28",8375.450195,8375.450195,8375.450195,8375.450195,0,8375.450195
"2009-01-29",8149.009766,8149.009766,8149.009766,8149.009766,0,8149.009766
"2009-01-30",8000.859863,8000.859863,8000.859863,8000.859863,0,8000.859863
"2009-02-02",7936.830078,7936.830078,7936.830078,7936.830078,0,7936.830078
"2009-02-03",8078.359863,8078.359863,8078.359863,8078.359863,0,8078.359863
"2009-02-04",7956.660156,7956.660156,7956.660156,7956.660156,0,7956.660156
"2009-02-05",8063.069824,8063.069824,8063.069824,8063.069824,0,8063.069824
"2009-02-06",8280.589844,8280.589844,8280.589844,8280.589844,0,8280.589844
"2009-02-09",8270.870117,8270.870117,8270.870117,8270.870117,0,8270.870117
"2009-02-10",7888.879883,7888.879883,7888.879883,7888.879883,0,7888.879883
"2009-02-11",7939.529785,7939.529785,7939.529785,7939.529785,0,7939.529785
"2009-02-12",7932.759766,7932.759766,7932.759766,7932.759766,0,7932.759766
"2009-02-13",7850.410156,7850.410156,7850.410156,7850.410156,0,7850.410156
"2009-02-17",7552.600098,7552.600098,7552.600098,7552.600098,0,7552.600098
"2009-02-18",7555.629883,7555.629883,7555.629883,7555.629883,0,7555.629883
"2009-02-19",7465.950195,7465.950195,7465.950195,7465.950195,0,7465.950195
"2009-02-20",7365.669922,7365.669922,7365.669922,7365.669922,0,7365.669922
"2009-02-23",7114.779785,7114.779785,7114.779785,7114.779785,0,7114.779785
"2009-02-24",7350.939941,7350.939941,7350.939941,7350.939941,0,7350.939941
"2009-02-25",7270.890137,7270.890137,7270.890137,7270.890137,0,7270.890137
"2009-02-26",7182.080078,7182.080078,7182.080078,7182.080078,0,7182.080078
"2009-02-27",NA,NA,NA,NA,NA,NA
"2009-03-02",6763.290039,6763.290039,6763.290039,6763.290039,0,6763.290039
"2009-03-03",6726.02002,6726.02002,6726.02002,6726.02002,0,6726.02002
"2009-03-04",6875.839844,6875.839844,6875.839844,6875.839844,0,6875.839844
"2009-03-05",6594.439941,6594.439941,6594.439941,6594.439941,0,6594.439941
"2009-03-06",6626.939941,6626.939941,6626.939941,6626.939941,0,6626.939941
"2009-03-09",6547.049805,6547.049805,6547.049805,6547.049805,0,6547.049805
"2009-03-10",6926.490234,6926.490234,6926.490234,6926.490234,0,6926.490234
"2009-03-11",6930.399902,6930.399902,6930.399902,6930.399902,0,6930.399902
